"index","Data","Hora","PRECIPITACIO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","PRESSIO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)","PRESSIO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)","RADIACAO GLOBAL (Kj/m)","TEMPERATURA DO AR - BULBO SECO, HORARIA (C)","TEMPERATURA DO PONTO DE ORVALHO (C)","TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C)","TEMPERATURA MINIMA NA HORA ANT. (AUT) (C)","TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C)","TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C)","UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)","UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIRECCIO HORARIA (gr) ( (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)","region","state","station","station_code","latitude","longitude","height"
170287,2021-01-16,07:00:00,0,1001.7,1002.2,1001.7,0,23.9,22.9,24.3,23.8,23.3,22.9,95,94,95,41,1.3,0.3,24.05,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170293,2021-01-16,13:00:00,0,1004.6,1004.6,1004.5,1870,29.2,23.9,29.2,27.6,24.4,22.9,80,72,73,251,1.9,0.7,28.4,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170299,2021-01-16,19:00:00,0,1000.5,1001.2,1000.5,843,29.3,22.7,30.7,28.4,23.5,21.7,72,59,68,297,5.4,1,29.55,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170305,2021-01-17,01:00:00,0,1002.5,1002.5,1001.8,0,25.4,23.3,26.1,25.3,23.3,23.1,88,84,88,49,2.6,0.7,25.7,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170311,2021-01-17,07:00:00,0,1001.5,1001.7,1001.4,0,23.8,22.9,24,23.7,23.1,22.9,95,95,95,269,1.6,0.5,23.85,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170317,2021-01-17,13:00:00,0,1004.8,1004.8,1004.2,1729,28.9,23.1,29.4,27.7,24.5,23.1,81,70,71,10,2.8,0.9,28.55,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170323,2021-01-17,19:00:00,0,999.4,1001,999.4,2514,32.9,21.6,33.1,28.5,24.8,20.9,79,50,52,75,4,1.3,30.8,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170329,2021-01-18,01:00:00,0,1001.9,1001.9,1000.4,0,28.1,23.5,28.1,27.8,23.6,22.3,77,71,76,21,1.4,0.5,27.95,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170335,2021-01-18,07:00:00,0,1001.1,1001.4,1001.1,0,25.8,24,26.4,25.8,24.2,23.7,90,86,90,214,1.1,0.3,26.1,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170341,2021-01-18,13:00:00,3.4,1005.7,1005.7,1004.6,25,24.2,23.3,24.3,24.1,23.4,23.1,95,94,95,59,4.3,0.8,24.2,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170347,2021-01-18,19:00:00,19,1002.5,1003.2,1002.5,88,24.2,23.3,29.2,23.8,23.4,22.1,95,67,95,69,6.8,1.8,26.5,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170353,2021-01-19,01:00:00,0,1003.5,1003.5,1002.9,0,24,23,24.5,24,23.2,22.9,94,92,94,79,1.8,0.4,24.25,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170359,2021-01-19,07:00:00,0,1002.6,1002.9,1002.6,0,24.9,24,24.9,24.4,24,23.5,95,95,95,134,1.5,0.8,24.65,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170365,2021-01-19,13:00:00,0,1005.6,1005.6,1005.3,765,27.1,24.1,28.2,26.4,24.4,23.4,86,77,84,55,2.4,0.8,27.3,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170371,2021-01-19,19:00:00,0,1000.9,1002.1,1000.9,2688,30.3,22,30.4,29.3,22.8,21.6,66,61,61,68,6.5,2.5,29.85,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170377,2021-01-20,01:00:00,0.4,1005,1005,1004.3,0,24.7,23.4,24.8,24.7,23.5,23.3,93,92,92,139,2.9,0.7,24.75,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170383,2021-01-20,07:00:00,0.2,1003.3,1003.6,1003.3,0,24.8,23.6,24.8,24.6,23.7,23.5,94,93,93,252,4.4,2,24.7,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170389,2021-01-20,13:00:00,7.4,1007.6,1007.6,1007.1,224,22.9,22.1,22.9,22.5,22.1,21.7,95,95,95,292,3.9,0.7,22.7,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170395,2021-01-20,19:00:00,0,1003,1004.2,1003,1715,26.6,22.5,26.6,25.7,23.4,21.8,85,77,78,47,4.6,1.8,26.15,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170401,2021-01-21,01:00:00,0,1004.5,1004.5,1004.2,0,24.6,22.5,25,24.6,22.5,22.4,88,85,88,72,2.9,0.9,24.8,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170407,2021-01-21,07:00:00,0,1003.8,1003.8,1003.7,0,24.3,22.6,24.4,24.1,22.9,22.6,92,90,90,73,2.7,1.2,24.25,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
